Name,Date of Birth,NIC,Mobile Numbers,Address Line 1,Address Line 2,City,Country
Customer 1,1988-03-22,1973363128000000,0789259197,"No 82, Main Street",Phase 2,Anuradhapura,Sri Lanka
Customer 2,1997-11-18,1999811520000001,0796390987;0765791536;0776866051,"No 281, Main Street",Phase 5,Trincomalee,Sri Lanka
Customer 3,1980-12-03,1973826877000002,0729970747;0787415069,"No 4, Main Street",Phase 5,Matara,Sri Lanka
Customer 4,1969-12-06,1975300835000003,0769357957,"No 401, Main Street",Phase 2,Kurunegala,Sri Lanka
Customer 5,1955-07-20,1975466751000004,0773334066;0738828291,"No 343, Main Street",Phase 1,Badulla,Sri Lanka
Customer 6,1997-06-01,1972667448000005,0779584370;0786058882;0734691371,"No 345, Main Street",Phase 4,Jaffna,Sri Lanka
Customer 7,1981-03-07,1953237731000006,0721033478;0778794341,"No 77, Main Street",Phase 3,Nuwara Eliya,Sri Lanka
Customer 8,1984-12-13,1977609873000007,0767012483;0784266451;0782965856,"No 340, Main Street",Phase 1,Kurunegala,Sri Lanka
Customer 9,1961-01-22,1975803538000008,0736755110;0781128578;0761194733,"No 111, Main Street",Phase 2,Galle,Sri Lanka
Customer 10,1981-09-03,1957369153000009,0766716283;0779553617;0781710117,"No 116, Main Street",Phase 1,Gampaha,Sri Lanka
Customer 11,1977-03-21,1991818022000010,0733935534;0757538897;0792679296,"No 498, Main Street",Phase 3,Kurunegala,Sri Lanka
Customer 12,2005-07-20,1957659111000011,0764140960;0776484380;0751168831,"No 379, Main Street",Phase 3,Kurunegala,Sri Lanka
Customer 13,1992-10-19,1971806108000012,0790330695;0735198381,"No 461, Main Street",Phase 3,Gampaha,Sri Lanka
Customer 14,1973-11-19,1991402788000013,0756739044,"No 446, Main Street",Phase 5,Anuradhapura,Sri Lanka
Customer 15,1993-04-25,1975336544000014,0772752712;0735915499,"No 380, Main Street",Phase 4,Nuwara Eliya,Sri Lanka
Customer 16,1956-11-17,1993792208000015,0789019909,"No 344, Main Street",Phase 2,Ratnapura,Sri Lanka
Customer 17,1980-06-27,1970165804000016,0766403414,"No 200, Main Street",Phase 2,Negombo,Sri Lanka
Customer 18,1976-03-11,1959113098000017,0746860140;0767032176;0746968087,"No 79, Main Street",Phase 5,Badulla,Sri Lanka
Customer 19,1991-07-13,1959642373000018,0737138851,"No 85, Main Street",Phase 5,Badulla,Sri Lanka
Customer 20,1965-12-13,1979735228000019,0799706922;0764704496;0730768610,"No 373, Main Street",Phase 3,Kandy,Sri Lanka
Customer 21,1972-06-27,1970810267000020,0747589770;0766025682,"No 397, Main Street",Phase 4,Gampaha,Sri Lanka
Customer 22,1965-04-04,1995961961000021,0789051728;0736964752;0796833004,"No 46, Main Street",Phase 1,Kalutara,Sri Lanka
Customer 23,1982-08-01,1968470338000022,0789907893,"No 124, Main Street",Phase 1,Galle,Sri Lanka
Customer 24,1951-06-13,1992878104000023,0772457265,"No 342, Main Street",Phase 1,Kandy,Sri Lanka
Customer 25,1981-09-14,1993266782000024,0710747606;0727014025,"No 176, Main Street",Phase 1,Badulla,Sri Lanka
Customer 26,1967-01-15,1965945115000025,0779488782,"No 154, Main Street",Phase 2,Negombo,Sri Lanka
Customer 27,1958-04-10,1963445621000026,0749779258,"No 418, Main Street",Phase 3,Kalutara,Sri Lanka
Customer 28,2003-06-22,1970768606000027,0785270531;0749544247,"No 280, Main Street",Phase 2,Trincomalee,Sri Lanka
Customer 29,1980-06-10,1970633703000028,0759542241;0717702565,"No 249, Main Street",Phase 1,Matara,Sri Lanka
Customer 30,1981-07-16,1966212287000029,0722760074;0734081236;0757004615,"No 135, Main Street",Phase 2,Gampaha,Sri Lanka
Customer 31,1962-03-20,1977160401000030,0758426316;0796628016;0775119979,"No 320, Main Street",Phase 4,Kandy,Sri Lanka
Customer 32,1981-07-08,1971879182000031,0777769318,"No 14, Main Street",Phase 2,Trincomalee,Sri Lanka
Customer 33,1992-11-15,1980295847000032,0782871814;0785135462,"No 176, Main Street",Phase 2,Nuwara Eliya,Sri Lanka
Customer 34,1955-07-07,1962721777000033,0763476088,"No 377, Main Street",Phase 2,Kandy,Sri Lanka
Customer 35,1973-08-02,1989373947000034,0710069385;0732264374;0776665685,"No 244, Main Street",Phase 3,Gampaha,Sri Lanka
Customer 36,1972-01-06,1950855062000035,0719908791;0765514690,"No 278, Main Street",Phase 3,Kalutara,Sri Lanka
Customer 37,1976-11-09,1954260177000036,0754909101,"No 450, Main Street",Phase 4,Anuradhapura,Sri Lanka
Customer 38,1956-11-27,1962730386000037,0787860170;0741137198,"No 406, Main Street",Phase 2,Matara,Sri Lanka
Customer 39,1959-10-08,1978185296000038,0726326799,"No 272, Main Street",Phase 3,Kandy,Sri Lanka
Customer 40,1991-06-21,1998743729000039,0724128385;0767173607,"No 111, Main Street",Phase 4,Trincomalee,Sri Lanka
Customer 41,1989-02-28,1972258976000040,0782128045;0726509857,"No 390, Main Street",Phase 5,Batticaloa,Sri Lanka
Customer 42,1975-02-02,1966479760000041,0798323200,"No 440, Main Street",Phase 5,Batticaloa,Sri Lanka
Customer 43,1966-06-01,1962575821000042,0782602730;0728424567,"No 76, Main Street",Phase 1,Nuwara Eliya,Sri Lanka
Customer 44,1979-07-28,1963185455000043,0785217044,"No 456, Main Street",Phase 5,Badulla,Sri Lanka
Customer 45,1958-01-29,1955636120000044,0773203986,"No 316, Main Street",Phase 1,Gampaha,Sri Lanka
Customer 46,1998-06-15,1970125405000045,0790365716;0715811846;0768617675,"No 415, Main Street",Phase 1,Jaffna,Sri Lanka
Customer 47,2005-06-21,1950723535000046,0722601266;0729643331;0766250633,"No 419, Main Street",Phase 4,Galle,Sri Lanka
Customer 48,1962-03-05,1986568326000047,0727377818,"No 168, Main Street",Phase 2,Nuwara Eliya,Sri Lanka
Customer 49,1980-03-01,1990495066000048,0763837872;0764588714;0792946871,"No 323, Main Street",Phase 1,Anuradhapura,Sri Lanka
Customer 50,1959-02-19,1954756488000049,0783833421,"No 48, Main Street",Phase 4,Ratnapura,Sri Lanka
Customer 51,1998-03-07,1959799499000050,0752017578,"No 399, Main Street",Phase 3,Ratnapura,Sri Lanka
Customer 52,2004-03-13,1958901119000051,0718394762;0759527181,"No 222, Main Street",Phase 2,Kandy,Sri Lanka
Customer 53,1995-08-18,1996875640000052,0774382794;0722934134;0782636652,"No 311, Main Street",Phase 4,Kalutara,Sri Lanka
Customer 54,1953-11-21,1995627307000053,0787431160,"No 499, Main Street",Phase 2,Jaffna,Sri Lanka
Customer 55,1964-04-07,1966748366000054,0716879421;0778822059;0772821345,"No 71, Main Street",Phase 4,Jaffna,Sri Lanka
Customer 56,1985-03-19,1988772178000055,0784099851;0780413019;0766984483,"No 57, Main Street",Phase 1,Kurunegala,Sri Lanka
Customer 57,1998-10-21,1996610168000056,0792087882;0793936335;0747340089,"No 417, Main Street",Phase 3,Batticaloa,Sri Lanka
Customer 58,1985-08-13,1989233125000057,0718062187;0728568036,"No 9, Main Street",Phase 2,Batticaloa,Sri Lanka
Customer 59,1969-06-04,1971891428000058,0768248734;0720726121,"No 279, Main Street",Phase 2,Batticaloa,Sri Lanka
Customer 60,1970-03-03,1951920414000059,0726988141,"No 196, Main Street",Phase 4,Kurunegala,Sri Lanka
Customer 61,1986-02-14,1996224979000060,0748966994,"No 364, Main Street",Phase 1,Kalutara,Sri Lanka
Customer 62,1985-10-23,1998886469000061,0799542034,"No 131, Main Street",Phase 1,Badulla,Sri Lanka
Customer 63,1962-11-22,1995158091000062,0778113864;0763044662,"No 294, Main Street",Phase 2,Negombo,Sri Lanka
Customer 64,1970-10-23,1959340774000063,0778729089,"No 471, Main Street",Phase 2,Gampaha,Sri Lanka
Customer 65,1964-08-19,1989227775000064,0777320429;0740597346;0780720467,"No 356, Main Street",Phase 1,Colombo,Sri Lanka
Customer 66,1982-11-21,1952257806000065,0718965808;0795197036,"No 394, Main Street",Phase 2,Colombo,Sri Lanka
Customer 67,1979-05-02,1985490507000066,0787171985;0772769143;0781590108,"No 169, Main Street",Phase 3,Nuwara Eliya,Sri Lanka
Customer 68,1997-07-29,1950917822000067,0772185119,"No 63, Main Street",Phase 5,Anuradhapura,Sri Lanka
Customer 69,1950-01-31,1962315876000068,0711906451;0794123796,"No 150, Main Street",Phase 4,Batticaloa,Sri Lanka
Customer 70,1989-11-30,1981529727000069,0718851433;0745631828,"No 200, Main Street",Phase 4,Kalutara,Sri Lanka
Customer 71,2005-03-19,1952493344000070,0775992521;0740327196;0782041036,"No 267, Main Street",Phase 5,Matara,Sri Lanka
Customer 72,2001-05-10,1959354557000071,0750691895,"No 385, Main Street",Phase 4,Batticaloa,Sri Lanka
Customer 73,1993-11-06,1995979662000072,0778080765;0718050022,"No 271, Main Street",Phase 3,Kalutara,Sri Lanka
Customer 74,1982-12-24,1959107467000073,0799392630,"No 255, Main Street",Phase 2,Gampaha,Sri Lanka
Customer 75,1960-07-14,1972248937000074,0776653321,"No 331, Main Street",Phase 3,Negombo,Sri Lanka
Customer 76,1963-07-24,1979146552000075,0716908871,"No 25, Main Street",Phase 5,Negombo,Sri Lanka
Customer 77,1959-08-15,1981157231000076,0785827557;0712198692,"No 99, Main Street",Phase 3,Negombo,Sri Lanka
Customer 78,1963-07-02,1988872771000077,0748736667;0716942907;0724460000,"No 439, Main Street",Phase 1,Kalutara,Sri Lanka
Customer 79,1963-10-06,1999881883000078,0739264521;0756077485,"No 58, Main Street",Phase 5,Badulla,Sri Lanka
Customer 80,1995-04-17,1988214842000079,0736622214;0714189448;0751988460,"No 83, Main Street",Phase 4,Galle,Sri Lanka
Customer 81,1969-05-25,1999411171000080,0722631444;0780944669,"No 268, Main Street",Phase 2,Ratnapura,Sri Lanka
Customer 82,1969-03-06,1984700877000081,0744456785,"No 174, Main Street",Phase 3,Kandy,Sri Lanka
Customer 83,1991-06-18,1963323176000082,0713520483;0773375778,"No 84, Main Street",Phase 2,Colombo,Sri Lanka
Customer 84,1952-09-28,1981304822000083,0794873058;0749230095;0799301656,"No 207, Main Street",Phase 3,Jaffna,Sri Lanka
Customer 85,2002-11-24,1994138486000084,0726232890;0712033866;0713294026,"No 385, Main Street",Phase 1,Kurunegala,Sri Lanka
Customer 86,1979-05-06,1995606246000085,0749459608;0767841659,"No 470, Main Street",Phase 1,Trincomalee,Sri Lanka
Customer 87,1993-11-12,1972104318000086,0721481950;0715732508,"No 146, Main Street",Phase 2,Kalutara,Sri Lanka
Customer 88,1959-09-20,1996315460000087,0779907429;0789909560,"No 426, Main Street",Phase 1,Jaffna,Sri Lanka
Customer 89,1980-04-04,1952959173000088,0746010183,"No 86, Main Street",Phase 5,Negombo,Sri Lanka
Customer 90,1971-06-29,1958717386000089,0780942972;0797317721,"No 14, Main Street",Phase 5,Kalutara,Sri Lanka
Customer 91,2004-11-01,1951884105000090,0768777696;0748735630;0790306588,"No 66, Main Street",Phase 2,Ratnapura,Sri Lanka
Customer 92,2001-10-04,1998324683000091,0725089036,"No 322, Main Street",Phase 5,Gampaha,Sri Lanka
Customer 93,1983-07-12,1995396665000092,0726655750;0729778411,"No 90, Main Street",Phase 2,Badulla,Sri Lanka
Customer 94,1971-09-20,1985486852000093,0765118296;0741528966,"No 494, Main Street",Phase 4,Trincomalee,Sri Lanka
Customer 95,1976-03-15,1951792367000094,0799409509,"No 305, Main Street",Phase 5,Gampaha,Sri Lanka
Customer 96,1959-06-05,1969862904000095,0766811307;0733497092;0722890407,"No 16, Main Street",Phase 3,Jaffna,Sri Lanka
Customer 97,1982-04-09,1987935835000096,0734240358,"No 484, Main Street",Phase 3,Trincomalee,Sri Lanka
Customer 98,1995-06-14,1980940836000097,0768519596;0776730188,"No 108, Main Street",Phase 1,Ratnapura,Sri Lanka
Customer 99,1958-09-05,1957714723000098,0752274794,"No 404, Main Street",Phase 4,Batticaloa,Sri Lanka
Customer 100,1983-01-31,1967844639000099,0730464033,"No 56, Main Street",Phase 2,Ratnapura,Sri Lanka
Customer 101,1970-05-06,1976977879000100,0711860045;0761676682;0725529027,"No 14, Main Street",Phase 4,Galle,Sri Lanka
Customer 102,1972-02-23,1969974695000101,0739997957,"No 278, Main Street",Phase 5,Colombo,Sri Lanka
Customer 103,1964-10-01,1954416417000102,0768670152;0712047150;0793552139,"No 394, Main Street",Phase 3,Batticaloa,Sri Lanka
Customer 104,1995-01-03,1978848325000103,0791538110;0797426623,"No 458, Main Street",Phase 3,Jaffna,Sri Lanka
Customer 105,1968-05-16,1976519888000104,0796171096;0731928381;0766580449,"No 304, Main Street",Phase 1,Ratnapura,Sri Lanka
Customer 106,2001-10-11,1952186449000105,0754127791,"No 309, Main Street",Phase 2,Anuradhapura,Sri Lanka
Customer 107,1954-01-21,1988179957000106,0729647911;0725789211,"No 497, Main Street",Phase 4,Kurunegala,Sri Lanka
Customer 108,1967-10-06,1986609236000107,0770860608;0798648387;0720062306,"No 280, Main Street",Phase 1,Gampaha,Sri Lanka
Customer 109,1986-07-14,1972422629000108,0750642477;0758289152,"No 361, Main Street",Phase 1,Batticaloa,Sri Lanka
Customer 110,2004-10-26,1969343600000109,0713268182;0740939206;0747350568,"No 417, Main Street",Phase 2,Kalutara,Sri Lanka
Customer 111,1968-01-03,1989377485000110,0753480276;0730164852,"No 95, Main Street",Phase 1,Trincomalee,Sri Lanka
Customer 112,1964-08-29,1955240853000111,0750674094;0763073947,"No 135, Main Street",Phase 4,Anuradhapura,Sri Lanka
Customer 113,1987-01-02,1997699152000112,0775985582;0716376879;0789012386,"No 176, Main Street",Phase 3,Nuwara Eliya,Sri Lanka
Customer 114,1965-02-15,1963146205000113,0769286441;0750056429,"No 259, Main Street",Phase 1,Kalutara,Sri Lanka
Customer 115,1982-02-23,1989962528000114,0783434472,"No 300, Main Street",Phase 4,Matara,Sri Lanka
Customer 116,2003-06-04,1953597267000115,0721064812,"No 94, Main Street",Phase 1,Jaffna,Sri Lanka
Customer 117,1968-04-22,1958403439000116,0768097293;0795436709;0710874363,"No 79, Main Street",Phase 2,Nuwara Eliya,Sri Lanka
Customer 118,1970-12-05,1996393099000117,0766387568,"No 352, Main Street",Phase 5,Trincomalee,Sri Lanka
Customer 119,1960-08-14,1963320920000118,0730108441;0722301501,"No 250, Main Street",Phase 2,Nuwara Eliya,Sri Lanka
Customer 120,1986-04-23,1958948717000119,0748933130,"No 102, Main Street",Phase 2,Nuwara Eliya,Sri Lanka
Customer 121,1951-01-07,1966667277000120,0729355763,"No 471, Main Street",Phase 5,Colombo,Sri Lanka
Customer 122,1999-02-13,1965842523000121,0755520753;0797342389;0750463296,"No 481, Main Street",Phase 5,Galle,Sri Lanka
Customer 123,1988-12-18,1989863963000122,0711839853;0751851813;0777817447,"No 408, Main Street",Phase 3,Kurunegala,Sri Lanka
Customer 124,1952-07-11,1955400997000123,0722166121;0794682180;0728107989,"No 243, Main Street",Phase 1,Badulla,Sri Lanka
Customer 125,1967-09-15,1950577994000124,0730067849;0714868099;0750954498,"No 430, Main Street",Phase 5,Trincomalee,Sri Lanka
Customer 126,1969-02-21,1989606334000125,0774163879,"No 355, Main Street",Phase 3,Jaffna,Sri Lanka
Customer 127,1981-02-15,1978773486000126,0754244265;0731338693,"No 209, Main Street",Phase 3,Colombo,Sri Lanka
Customer 128,1955-08-07,1953640983000127,0786908109,"No 177, Main Street",Phase 2,Kandy,Sri Lanka
Customer 129,1972-02-25,1969509059000128,0761172311,"No 284, Main Street",Phase 4,Jaffna,Sri Lanka
Customer 130,1956-08-22,1973981920000129,0739886865;0784491487;0715999412,"No 348, Main Street",Phase 1,Kandy,Sri Lanka
Customer 131,1983-12-29,1980682095000130,0790465218,"No 164, Main Street",Phase 1,Gampaha,Sri Lanka
Customer 132,1994-04-26,1999203231000131,0759939588;0772056292,"No 358, Main Street",Phase 3,Kurunegala,Sri Lanka
Customer 133,1962-07-17,1997825162000132,0751145038,"No 409, Main Street",Phase 2,Kalutara,Sri Lanka
Customer 134,1986-06-28,1993434686000133,0716071264;0768220641,"No 22, Main Street",Phase 4,Ratnapura,Sri Lanka
Customer 135,1993-10-18,1975549962000134,0772914285;0773904430,"No 85, Main Street",Phase 1,Trincomalee,Sri Lanka
Customer 136,1965-04-11,1977971644000135,0772347893,"No 262, Main Street",Phase 4,Galle,Sri Lanka
Customer 137,1955-05-07,1955673738000136,0739743699;0758591472;0799653401,"No 231, Main Street",Phase 1,Matara,Sri Lanka
Customer 138,1964-10-23,1951700613000137,0774215500,"No 348, Main Street",Phase 4,Jaffna,Sri Lanka
Customer 139,1958-01-13,1973179324000138,0790061343;0717314469,"No 238, Main Street",Phase 4,Trincomalee,Sri Lanka
Customer 140,1993-05-14,1994923831000139,0799433419,"No 94, Main Street",Phase 5,Badulla,Sri Lanka
Customer 141,1990-03-22,1994388033000140,0761819695;0750861345;0721341048,"No 240, Main Street",Phase 2,Nuwara Eliya,Sri Lanka
Customer 142,1966-07-16,1964996127000141,0723892174,"No 386, Main Street",Phase 5,Batticaloa,Sri Lanka
